APPLE INC,2026,Q1,2025-12-31,42.1000000000000,143.7600000000000,379.3000000000000,95.2200000000000,0.2928000000,0.3790000000,3.9833000000,0.442100
APPLE INC,2025,FY,2025-09-30,112.0100000000000,416.1600000000000,359.2400000000000,93.5700000000000,0.2692000000,1.1584000000,3.8394000000,1.197100
APPLE INC,2025,Q3,2025-06-30,23.4300000000000,94.0400000000000,331.5000000000000,89.8100000000000,0.2492000000,0.2837000000,3.6912000000,0.260900
APPLE INC,2025,Q2,2025-03-31,24.7800000000000,95.3600000000000,331.2300000000000,88.7100000000000,0.2599000000,0.2879000000,3.7338000000,0.279300
APPLE INC,2025,Q1,2024-12-31,36.3300000000000,124.3000000000000,344.0900000000000,84.7700000000000,0.2923000000,0.3612000000,4.0591000000,0.428600
APPLE INC,2024,FY,2024-09-30,93.7400000000000,391.0400000000000,364.9800000000000,83.2800000000000,0.2397000000,1.0714000000,4.3828000000,1.125600
APPLE INC,2024,Q3,2024-06-30,21.4500000000000,85.7800000000000,331.6100000000000,79.8500000000000,0.2500000000,0.2587000000,4.1529000000,0.268600
APPLE INC,2024,Q2,2024-03-31,23.6400000000000,90.7500000000000,337.4100000000000,78.8200000000000,0.2604000000,0.2690000000,4.2811000000,0.299900
MICROSOFT CORP,2026,Q2,2025-12-31,38.4600000000000,81.2700000000000,665.3000000000000,390.8800000000000,0.4732000000,0.1222000000,1.7021000000,0.098400
MICROSOFT CORP,2026,Q1,2025-09-30,27.7500000000000,77.6700000000000,636.3500000000000,363.0800000000000,0.3572000000,0.1221000000,1.7527000000,0.076400
MICROSOFT CORP,2025,FY,2025-06-30,101.8300000000000,281.7200000000000,619.0000000000000,343.4800000000000,0.3615000000,0.4551000000,1.8022000000,0.296500
MICROSOFT CORP,2025,Q3,2025-03-31,25.8200000000000,70.0700000000000,562.6200000000000,321.8900000000000,0.3686000000,0.1245000000,1.7479000000,0.080200
MICROSOFT CORP,2025,Q2,2024-12-31,24.1100000000000,69.6300000000000,533.9000000000000,302.7000000000000,0.3462000000,0.1304000000,1.7638000000,0.079600
MICROSOFT CORP,2025,Q1,2024-09-30,24.6700000000000,65.5900000000000,523.0100000000000,287.7200000000000,0.3761000000,0.1254000000,1.8178000000,0.085700
MICROSOFT CORP,2024,FY,2024-06-30,88.1400000000000,245.1200000000000,512.1600000000000,268.4800000000000,0.3596000000,0.4786000000,1.9077000000,0.328300
MICROSOFT CORP,2024,Q3,2024-03-31,21.9400000000000,61.8600000000000,484.2800000000000,253.1500000000000,0.3547000000,0.1277000000,1.9130000000,0.086700
"TESLA, INC.",2025,FY,2025-12-31,3.7900000000000,94.8300000000000,137.8100000000000,82.1400000000000,0.0400000000,0.6881000000,1.6778000000,0.046200
"TESLA, INC.",2025,Q3,2025-09-30,1.3700000000000,28.1000000000000,133.7400000000000,79.9700000000000,0.0489000000,0.2101000000,1.6723000000,0.017200
"TESLA, INC.",2025,Q2,2025-06-30,1.1700000000000,22.5000000000000,128.5700000000000,77.3100000000000,0.0521000000,0.1750000000,1.6629000000,0.015200
"TESLA, INC.",2025,Q1,2025-03-31,0.4100000000000,19.3400000000000,125.1100000000000,74.6500000000000,0.0212000000,0.1545000000,1.6759000000,0.005500
"TESLA, INC.",2024,FY,2024-12-31,7.0900000000000,97.6900000000000,122.0700000000000,72.9100000000000,0.0726000000,0.8003000000,1.6742000000,0.097300
"TESLA, INC.",2024,Q3,2024-09-30,2.1700000000000,25.1800000000000,119.8500000000000,69.9300000000000,0.0861000000,0.2101000000,1.7139000000,0.031000
"TESLA, INC.",2024,Q2,2024-06-30,1.4800000000000,25.5000000000000,112.8300000000000,66.4700000000000,0.0580000000,0.2260000000,1.6975000000,0.022200
"TESLA, INC.",2024,Q1,2024-03-31,1.1300000000000,21.3000000000000,109.2300000000000,64.3800000000000,0.0530000000,0.1950000000,1.6966000000,0.017500
